,Star_name,Distance,Mass,Radius
0,54 Piscium,36.1,53,
1,AB Pictoris,66.6,13.5,
2,CD−33°7795,163.08,20,
3,CT Chamaeleontis,538,17,2.2
4,Eta Coronae Borealis,58.3,63,
5,G 196-3,50.2,25,
6,GD 165,103,,
7,Gliese 570,19.0,52,
8,GU Piscium,155.3,11,
9,HD 89744,126.2,,
10,HD 100546,337.25,20,
11,HN Pegasi,58.3,28,1.01
12,LHS 4040 [es],,,
13,UScoCTIO 108,473,14,
14,WD 0137-349,330,53,
15,HD 41004 B,139,18.4,
16,HD 283750,53.81,50,
17,HD 149382,241,15.5,
18,COROT-15,,63.4,1.12
19,Xi Ursae Majoris B,25.11,37,
20,Upsilon Andromedae,43.9,13.98,
21,Gliese 758,51.9,23,
22,HD 112758,53.81,35,
23,BD−04°782,66.6,21,
24,HD 110833,55.44,17,
25,HD 89707,81.54,54,
26,Tau Geminorum,302,18.1,
27,HAT-P-13,698,15.2,
28,HD 217580,58.7,60,
29,HD 16760,163,14.3,
30,HD 13189,603.4,14,
31,HD 18445,83.92,39,
32,HD 8673,124.75,14,
33,NGC 4349-127,7097,19.8,
34,Gliese 569,31.5,116[7],
35,HD 29587,146.77,40,
36,ChaHα8,522,18,
37,COROT-20,4000,17,
38,HD 168443,123.5,34,
39,HD 38529 A,138,37,
40,Epsilon Indi,11.8,28,
41,HW Virginis,590,19.23,
42,DT Virginis,37.55,12.5,1.1
43,HD 4113,136,60,
44,Gliese 229,19,40,
45,TYC 9486-927-1,111,13.3 (± 1.7)  MJ,
46,Epsilon Indi,11.8,47,
47,HD 131664,180.8,18.15,
48,HD 136118,171,42,
49,HD 140913,156.42,46,
50,GQ Lupi,400,1-42,1.8
51,HD 162020,101.95,15.0,
52,Nu Ophiuchi,152.8,21.9,
53,HD 164427,127.52,46,
54,SCR 1845-6357,12.57,40-50,
55,COROT-3,2220,21.66,1.01
56,15 Sagittae,57.7,65,
57,Zeta Delphini,220,55,
58,HD 202206,151.14,17.4,
59, , , , 
60,OGLE-TR-109,8450,<14,0.9
61,RU Lupi,400,≥27,
62,CM Draconis,48,64,
63,BD+20°2457,652,21.42,
64,HD 3346,655.58,60,
65,HD 104304,42.1,17.2,
66,HD 154857,220,18.4,
67,Gliese 22 B,326,16,
68, , , , 
69,SDSS J000013.54+255418.6 [de],46.1,0.99,2004
70,2MASS J00040288-6410358,192,1.63,
71,LHS 102BC,,,2002
72,2MASS J00242463-0158201,37.7,1.09,
73,2MASS J00250365+4759191AB,143,,
74,2MASS J00274197+0503417,236,1.44,
75,2MASS J00275592+2219328,46.9,,
76,2MASSW J0030300-145033,87.2,0.98,n/a
77,2MASS J00332386-1521309 [de],131,1.43,n/a
78,2MASS J00345157+0523050,31,0.94,n/a
79,2MASS 0036+1821,28.6,0.94,2000
80,2MASSW J0045214+163445,57,1.62,n/a
81,WISEP J004701.06+680352.1 [fr],40,1.3,n/a
82,2MASS J00501994-3322402 [de],34,0.94,n/a
83,2MASS J00034227-2822410,,,n/a
84,2MASS J00584253-0651239 [de],96,1.43,n/a
85,CFBDS J005910.90–011401.3,30,,2013
86,2MASSI J0103320+193536,70,0.98,
87,SDSSp J010752.33+004156.1 [de],51,0.98,
88,2MASSI J0117474-340325 [de],163,1.62,
89,2MASS J01415823-4633574 [de],130,1.61,
90,SDSS J015141.69+124429.6,70,0.97,
91,DENIS-P J020529.0−115925A,65,,1997
92,DENIS-P J020529.0−115925B,65,,1997
93,DENIS-P J020529.0−115925C,65,,1997
94,SDSS J020742.48+000056.2 [de],111,0.97,n/a
95,2MASS J02103857-3015313,101,1.53,n/a
96,2MASS J02340093-6442068,155,1.62,n/a
97,2MASS J02411151-0326587 [de],152,1.41,n/a
98,2MASS J02431371−2453298,35,0.99,2002
99,LP 771-21,53,1.08,n/a
100,2MASS J02511327+0047364,,,n/a
101,Teegarden's star,12.578,1.27,2003
102,2MASS J02535980+3206373,184,1.9,n/a
103,WISE J0254+0223,24,1.9,n/a
104,DEN 0255-4700,16.2,0.97,2006
105,2MASS J03185403-3421292 [de],45,0.97,2008
106,2MASS J03205965+1854233,47,1.15,n/a
107,2MASS J03231002-4631237,192,1.66,n/a
108,SDSS J032553.17+042540.1,59,0.95,n/a
109,2MASS J03264225-2102057 [de],80,1.3,2003
110,2MASS J03284265+2302051 [de],98,0.98,2000
111,2MASS J03341218-4953322,27.0,1.04,n/a
112,LP 944-20,20.9,1.43,n/a
113,2MASP J0345432+254023,88,1.05,1997
114,Teide 1,380,3.78,1995
115,2MASS J03510004-0052452,48,1.27,n/a
116,2MASS J03552337+1133437,29.8,1.32,2006
117,DENIS-P J035726.9-441730 [de],130,,n/a
118,2MASS J04151954−0935066,18.6,0.95,2002
119,SDSSp J042348.57-041403.5 [de],50,,2002
120,2MASS J04285096-2253227 [de],85,1.09,2003
121,2MASS J04351612-1606574,34,1.26,n/a
122,2MASS J04362788-4114465,142,1.97,n/a
123,2MASS J04390101-2353083 [de],29.5,0.97,2003
124,2MASS J04414489+2301513,470,,2010
125,2MASS J04433764+0002040,82,1.78,n/a
126,2MASS J04455387-3048204 [de],42,1.00,2003
127,2MASS J04510093-3402150 [de],69,72,2003
128,2MASS J05002100+0330501 [de],44,1.00,2008
129,2MASS J05012406-0010452 [de],64,1.38,2008
130,2MASS J05160945-0445499 [de],73,0.97,2003
131,2MASS J0523−1403,40,1.01,n/a
132,2MASS 0532+8246,81,,2018
133,SDSS J053951.99-005902.0,41.62,1.01,n/a
134,2MASS J05591914-1404488 [de],34,,2000
135,LSR 0602+3910 [de],34.6,1.41,2003
136,2MASS J06085283-2753583,102,1.51,n/a
137,WISEP J061135.13-041024.0A,69,,2014
138,WISEP J061135.13-041024.0B,69,,2014
139,2MASS J06244595-4521548 [de],39,0.99,2008
140,2MASS J06411840-4322329 [de],65,1.01,2008
141,DENIS-P J0652197-253450 [de],51,1.05,2008
142,2MASS J07003664+3157266 [de],40,,2003
143,2MASS J07075327-4900503,60,1.03,n/a
144,UGPS J072227.51-054031.2,13.4,0.98,2010
145,2MASSI J0727182+171001 [de],29.6,0.94,2002
146,2MASS J07290002-3954043 [de],25.8,0.94,2007
147,SDSS J074201.41+205520.5 [de],49,0.94,2004
148,2MASS J0746425+200032 [fr],49.6,,1999
149,DENIS-P J0751164-253043 [de],55,1.03,2008
150,2MASS J07522390+1612157,60,68,
151,DENIS J081730.0-615520,16.1,0.94,2010
152,DENIS J082303.1−491201A,67,,2006
153,DENIS J082303.1−491201B,67,,2006
154,2MASS J08251968+2115521 [de],35,0.98,2000
155,SDSSp J083008.12+482847.4 [de],43,0.99,2002
156,LHS 2021,55,1.15,
157,SDSS J083048.80+012831.1 [de],77,0.96,2004
158,2MASSI J0835425-081923 [de],23.53,1.00,2003
159,2MASSI J0847287-153237 [de],43,1.00,2003
160,2MASS J08533619-0329321,27.6,1.07,
161,2MASSI J0859254-194926 [de],50,0.98,2003
162,2MASSW J0920122+351742 [de],95,,2000
163,2MASSI J0937347+293142,20.0,0.94,2002
164,2MASS 0939−2448,17.4,0.95,2005
165,2MASS J09490860-1545485 [de],59,0.96,2005
166,2MASS J10073369-4555147,46,0.94,
167,2MASSI J1010148-040649 [de],55,0.98,2003
168,2MASSI J1017075+130839 [de],108,,2003
169,SDSS J102109.69-030420.1,95,,
170,2MASS J10224821+5825453 [de],60,1.41,2008
171,2MASSW J1036530-344138 [de],53,0.97,2002
172,2MASS J1047538+212423 [de],34.4,0.94,1999
173,DEN 1048-3956,13.15,1.07,2000
174,Luhman 16B,6.516,1.02,2013
175,Luhman 16A,6.516,1.01,2013
176,DENIS-P J1058.7−1548,49,1.00,1997
177,TWA 28,180,2.39,
178,Cha 110913-773444,163,1.8,2005
179,OTS 44,554,,2005
180,SDSS J111010.01+011613.1,63,1.24,
181,2MASS J11145133−2618235,18.2,0.96,2005
182,TWA 26,137,2.20,
183,2MASSW J1146345+223053,89,,
184,2MASS J11544223-3400390 [de],129,1.50,2003
185,2MASSW J1155395-372735 [de],31,1.00,2002
186,TWA 27A,,,
187,TWA 27B,,,
188,2MASS J12074836-3900043,217,1.71,n/a
189,2MASSI J1217110-031113 [de],36,0.94,1999
190,2MASS J12255432-2739466,43,,n/a
191,DENIS-P J1228.2-1547,66,,1999
192,2M 1237+6526,45.6,0.94,2003
193,2MASSW J1239272+551537 [de],119,,2000
194,TWA 29,262,25,n/a
195,SDSSp J125453.90-012247.4 [de],38,0.98,2000
196,Kelu-1A,61,0.98,1997
197,Kelu-1B,61,0.98,1997
198,2MASS J13204427+0409045,101,1.01,n/a
199,SDSSp J132629.82-003831.5 [de],65,0.97,2000
200,SDSSp J134646.45-003150.4 [de],48,0.94,2000
201,2MASS J13595510-4034582,51,1.00,n/a
202,ULAS J141623.94+134836.3,29.7,0.96,n/a
203,SDSS J141659.78+500626.4 [de],149,0.99,2006
204,DENIS-P J142527.97-365023.4 [de],38,1.32,2004
205,LHS 2924,38.5,1.06,
206,2MASS J14392837+1929150,47,1.03,n/a
207,LSPM J1440+1339,72,1.19,n/a
208,2MASS J14482563+1031590 [de],47,0.99,2003
209,CFBDSIR 1458+10A,104,1.5,2010
210,CFBDSIR 1458+10B,104,1.3,2010
211,TVLM 513-46546,35.1,1.05,n/a
212,2MASS 1503+2525,20.7,0.94,2003
213,CFBDS J150411+102717,71,0.94,n/a
214,2MASSW J1506544+132106 [de],46,1.02,2000
215,2MASS 1507−1627,23.9,0.99,2000
216,TVLM 868-110639,53,1.08,n/a
217,SDSS J151114.66+060742.9 [de],89,,2006
218,2MASSW J1515008+484742 [de],34,0.99,2003
219,2MASSI J1526140+204341 [de],67,0.98,2000
220,DENIS-P J153941.96-052042.4 [de],51,1.00,2004
221,2MASS J15462718-3325111 [de],37,0.94,2002
222,2MASSW J1552591+294849 [de],68,1.43,2003
223,2MASSW J1555157-095605 [de],44,1.03,2002
224,2MASS J16150413+1340079 [de],48,0.94,2007
225,SDSSp J162414.37+002915.6 [de],36,0.94,1999
226,2MASS J16262034+3925190 [de],110,1.03,2004
227,2MASSW J1632291+190441 [de],50,0.97,1999
228,WISEPA J164715.59+563208.2,28,0.94,n/a
229,LSPM J1658+7027 [de],60,1.04,2000
230,2MASSI J1726000+153819,114,1.40,n/a
231,2MASSW J1728114+394859,79,,n/a
232,SDSSp J175032.96+175903.9,90,0.97,n/a
233,2MASS J18283572-4849046,39,0.95,n/a
234,LSR J1835+3259,18.5,1.07,2003
235,2MASSW J1841086+311727,138,1.01,n/a
236,2MASS J18432213+4040209,46,1.22,n/a
237,2MASS J20004841-7523070,105,1.88,n/a
238,SDSS J204749.61-071818.3,65,0.96,n/a
239,2MASSI J2057540-025230,47,1.02,n/a
240,2MASSW J2101154+175658,108,,n/a
241,2MASSI J2104149-103736,62,1.02,n/a
242,PSO J318.5−22,80,1.53,2013
243,HB 2124-4228,113,1.21,n/a
244,2MASS J21392676+0220226,32.1,0.96,n/a
245,2MASS J21481628+4003593,26.3,0.99,n/a
246,2MASS J14112131-2119503,,,n/a
247,2MASSW J2206450-421721,93,1.33,n/a
248,2MASSW J2208136+292121,154,1.41,n/a
249,2MASSW J2224438-015852,38,0.99,n/a
250,2MASS J22282889-4310262,35,0.94,2013
251,2MASS J22373255+3922398,64,1.04,n/a
252,2MASSW J2244316+204343,56,1.29,n/a
253,2MASS J23224684-3133231,56,1.39,n/a
254,2MASS J23225299-6151275,148,1.59,n/a
255,2MASS J23515044-2537367,67,1.16,n/a
256,2MASSI J2356547-155310,74,1.09,n/a
257,WISE 0005+3737,23.2,,2010
258,WISE 0008-1739,87.1,,2010
259,WISE 0015-4615,48.6,,2010
260,WISE 0031-3840,71.8,,2010
261,WISE 0032-4946,62.9,,2010
262,WISE 0038+2758,36.9,,2010
263,WISE 0038+8405,101.8,,2010
264,WISE 0040+0900,47.6,,2010
265,WISE 0049+0441,62.6,,2010
266,WISE 0049+2151,24.1,,2010
267,WISE 0106+1518,142.9,,2010
268,WISE 0123+4142,67.2,,2010
269,WISE 0135+1715,77.3,,2010
270,WISE 0138-0322,57.7,,2010
271,WISE 0146+4234,20.5,,2010
272,WISE 0148-7202,30,,2010
273,WISE 0150+3827,61.3,,2010
274,WISE 0206+2640,58.4,,2010
275,WISE 0221+3842,73.1,,2010
276,WISE 0223-2932,47,,2010
277,WISE 0226-0211,91,,2010
278,WISE 0241-3653,53.8,,2010
279,WISE 0245-3450,56.1,,2010
280,WISE 0247+3725,57.1,,2010
281,WISE 0305+3954,75,,2010
282,WISE 0307+2904,82.8,,2010
283,WISE 0313+7807,28,,2010
284,WISE 0316+4307,106.3,,2010
285,WISE 0321-7347,84.8,,2010
286,WISE 0323-6025,45.3,,2010
287,WISE 0325-3854,51.2,,2010
288,WISE 0325+0831,36.5,,2010
289,WISE 0333-5856,54.8,,2010
290,WISE 0335+4310,45.7,,2010
291,WISE 0336-0143,55.4,,2010
292,WISE 0350-5658,17.7,,2010
293,WISE 0359-5401,19.2,,2010
294,WISE 0410+1502,20,1.17,2010
295,WISE 0410+1411,85.8,,2010
296,WISE 0413-4750,66.2,,2010
297,WISE 0448-1935,69.8,,2010
298,WISE 0458+6434A,35.9,4.2,2010
299,WISE 0458+6434B,35.9,3.8,2010
300,WISE 0500-1223,47,,2010
301,WISE 0513+0608,44.7,,2010
302,WISE 0525+6739,98.2,,2010
303,WISE 0528-3308,57.4,,2010
304,WISE 0535-7500,47,,2010
305,WISE 0539-1034,84.8,,2010
306,WISE 0542-1628,50.6,,2010
307,WISE 0607+2429,25.4,,2010
308,WISE 0611-0410,57.7,,2010
309,WISE 0612-4920,95.2,,2010
310,WISE 0612-3036,64.9,,2010
311,WISE 0614+3912,50.2,,2010
312,WISE 0614+0951,51.5,,2010
313,WISE 0623-0456,37.5,,2010
314,WISE 0625+5646,67.2,,2010
315,WISE 0627-1114,37.2,,2010
316,WISE 0647-6232,28,,2010
317,WISE 0656+4205,54.1,,2010
318,WISE 0713-2917,23.2,,2010
319,WISE 0723+3403,45.7,,2010
320,WISE 0733+7544,78.3,,2010
321,WISE 0734-7157,34.9,,2010
322,WISE 0744+5628,47.3,,2010
323,WISE 0750+2725,51.5,,2010
324,WISE 0751-7634,39.1,,2010
325,WISE 0759-4904,38.8,,2010
326,WISE 0811-8051,32,,2010
327,WISE 0812+4021,63.6,,2010
328,WISE 0819-0335,46,,2010
329,WISE 0821+1443,68.2,,2010
330,WISE 0836-1859,72.4,,2010
331,WISE 0857+5604,42.1,,2010
332,WISE 0906+4735,51.5,,2010
333,WISE 0929+0409,64.9,,2010
334,WISE 0952+1955,72.1,,2010
335,WISE 1018-2445,47.6,,2010
336,WISE 1019+6529,56.8,,2010
337,WISE 1039-1600,47.3,,2010
338,WISE 1042-3842,53.2,,2010
339,WISE 1051-2138,40.8,,2010
340,WISE 1122+2550,57.7,,2010
341,WISE 1124-0421,50.6,,2010
342,WISE 1147-2040,102,,2010
343,WISE 1150+6302,32.9,,2010
344,WISE 1217+1626A,34.2,,2010
345,WISE 1217+1626B,34.2,,2010
346,WISE 1225-1013,55.4,,2010
347,WISE 1311+0122,44.4,,2010
348,WISE 1311+3629,86.1,,2010
349,WISE 1318-1758,32.9,,2010
350,WISE 1320+6034,56.1,,2010
351,WISE 1322-2340,33.9,,2010
352,WISE 1348+6603,91,,2010
353,WISE 1405+5534,25.3,0.86,2010
354,WISE 1433-0837,84.8,,2010
355,WISE 1436-1814,60,,2010
356,WISE 1457+5815,52.2,,2010
357,WISE 1506+7027,11.1,,2010
358,WISE 1517+0529,72.4,,2010
359,WISE 1519+7009,50.9,,2010
360,WISE 1523+3125,84.5,,2010
361,WISE 1541-2250,20,,2010
362,WISE 1542+2230,41.1,,2010
363,WISE 1612-3420,55.4,,2010
364,WISE 1614+1739,32.6,,2010
365,WISE 1617+1807,50.2,,2010
366,WISE 1622-0959,52.2,,2010
367,WISE 1627+3255,50.2,,2010
368,WISE 1639-6847,16.3,,2010
369,WISE 1647+5632,28,,2010
370,WISE 1653+4444,39.5,,2010
371,WISE 1711+3500,60.3,,2010
372,WISE 1717+6129,72.7,,2010
373,WISE 1721+1117,62.3,,2010
374,WISE 1728+5716,97.8,,2010
375,WISE 1738+2732,20,,2010
376,WISE 1741+2553,18.9,,2010
377,WISE 1746-0338,83.8,,2010
378,WISE 1800+0134,28.7,,2010
379,WISE 1804+3117,30,,2010
380,WISE 1809+3838,74.4,,2010
381,WISE 1812+2721,47,,2010
382,WISE 1828+2650,36,,2010
383,WISE 1830+4542,107,,2010
384,WISE 1841+7000,131.1,,2010
385,WISE 1852+3537,55.4,,2010
386,WISE 1906+4508,51.5,,2010
387,WISE 1928+2356,22.8,,2010
388,WISE 1952+7240,44.4,,2010
389,WISE 1959-3338,37.2,,2010
390,WISE 2030+0749,34.2,,2010
391,WISE 2014+0424,96.2,,2010
392,WISE 2015+6646,50.6,,2010
393,WISE 2018-7423,47.9,,2010
394,WISE 2019-1148,42.4,,2010
395,WISE 2056+1459,24.5,,2010
396,WISE 2134-7137,42.7,,2010
397,WISE 2157+2659,61.6,,2010
398,WISE 2209-2734,46,,2010
399,WISE 2213+0911,58.7,,2010
400,WISE 2220-3628,26.4,,2010
401,WISE 2226+0440,45,,2010
402,WISE 2237-0614,53.5,,2010
403,WISE 2237+7228,46,,2010
404,WISE 2239+1617,59.7,,2010
405,WISE 2255-3118,44.7,,2010
406,WISE 2301+0216,60.7,,2010
407,WISE 2313-8037,35.9,,2010
408,WISE 2319-1844,52.2,,2010
409,WISE 2325-4105,37.5,,2010
410,WISE 2327-2730,70.8,,2010
411,WISE 2335+4222,90.3,,2010
412,WISE 2340-0745,37.8,,2010
413,WISE 2342+0856,51.2,,2010
414,WISE 2343-7418,48.6,,2010
415,WISE 2344+1034,46,,2010
416,WISE 2348-1028,54.1,,2010
417,WISE 2357+1227,54.8,,2010
418,WISE 2359-7335,42.7,,2010
419,WISEA 1101+5400,111,,2017
420,2M1510,120,,2002
421, , , , 
422,"
Accretion
Molecular cloud
Bok globule
Young stellar object
Protostar
Pre-main-sequence
Herbig Ae/Be
T Tauri
FU Orionis
Herbig–Haro object
Hayashi track
Henyey track", , , 
423, , , , 
424,"
Main sequence
Red-giant branch
Horizontal branch
Red clump
Asymptotic giant branch
super-AGB
Blue loop
Protoplanetary nebula
Planetary nebula
PG1159
Dredge-up
OH/IR
Instability strip
Luminous blue variable
Blue straggler
Stellar population
Supernova
Superluminous supernova / Hypernova", , , 
425, , , , 
426,"
Early
Late
Main sequence
O
B
A
F
G
K
M
Brown dwarf
WR
OB
Subdwarf
O
B
Subgiant
Giant
Blue
Red
Yellow
Bright giant
Supergiant
Blue
Red
Yellow
Hypergiant
Yellow
Carbon
S
CN
CH
White dwarf
Chemically peculiar
Am
Ap/Bp
HgMn
Helium-weak
Barium
Extreme helium
Lambda Boötis
Lead
Technetium
Be
Shell
B[e]", , , 
427, , , , 
428,"
Compact star
White dwarf
Helium planet
Black dwarf
Neutron
Radio-quiet
Pulsar
Binary
X-ray
Magnetar
Stellar black hole
X-ray binary
Burster
SGR", , , 
429, , , , 
430,"
Blue dwarf
Green
Black dwarf
Exotic
Boson
Electroweak
Strange
Preon
Planck
Dark
Dark-energy
Quark
Q
Black
Gravastar
Frozen
Quasi-star
Thorne–Żytkow object
Iron
Blitzar
White hole
Planck star", , , 
431, , , , 
432,"
Deuterium burning
Lithium burning
Proton–proton chain
CNO cycle
Helium flash
Triple-alpha process
Alpha process
Carbon burning
Neon burning
Oxygen burning
Silicon burning
S-process
R-process
Fusor
Nova
Symbiotic
Remnant
Luminous red nova", , , 
433, , , , 
434,"
Core
Convection zone
Microturbulence
Oscillations
Radiation zone
Atmosphere
Photosphere
Starspot
Chromosphere
Stellar corona
Stellar wind
Bubble
Bipolar outflow
Accretion disk
Asteroseismology
Helioseismology
Eddington luminosity
Kelvin–Helmholtz mechanism", , , 
